Subject,Condition,ConsistentAxis,AxisChoice,ChoiceDetailed,ConsistentAxialDirection,AxialDirectionDetailed,AxialDirectionHorizontal,AxialDirectionVertical,ConsistentRoundDirection,RoundDirectionDetailed,SameAxis
S85,V,yes,NA,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S86,N,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S86,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S86,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S87,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S87,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S87,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S88,N,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S88,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S88,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S89,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S89,Q,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S89,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S9,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S9,T,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S9,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S91,Q,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S91,T,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S91,V,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S92,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S92,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S92,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S92,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S93,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S93,T,no,NA,round,NA,NA,NA,NA,yes,CW,no
S93,V,no,NA,round,NA,NA,NA,NA,no,NA,no
S94,Q,no,NA,round,NA,NA,NA,NA,yes,CW,no
S94,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S94,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S95,N,no,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S95,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S95,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S96,N,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S96,Q,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S96,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S97,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S97,T,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S98,Q,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S98,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S98,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S99,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,yes
S99,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,yes
